Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit,Fraud
Discover,Discover,6.01147E+15,Barbara Shaw,373,Mar-09,Mar-29,1,5811,52700,0
Diners Club International,Diners Club,3.01628E+13,Hildegarde Battles,934,Sep-14,Sep-32,15,6280,127000,0
American Express,Bank of America,3.74956E+14,Carolyn A Taylor,4493,Jan-14,Jan-30,27,7567,195300,1
Discover,Discover,6.01131E+15,Colby Taliaferro,179,Jun-07,Jun-25,13,4997,103000,1
Japan Credit Bureau,JCB,3.54383E+15,Dolores K Mcfarland,132,Jan-12,Jan-18,13,708,124800,0
Diners Club International,Diners Club,3.09978E+13,Emil E Mcfarlane,595,Dec-16,Dec-25,7,3943,195100,1
Japan Credit Bureau,JCB,3.57651E+15,Lois L Burns,932,Dec-08,Dec-28,2,9,135600,0
Japan Credit Bureau,JCB,3.54507E+15,Argentina Y Ware,647,Jan-11,Jan-18,21,3873,85800,0
Discover,Discover,6.01136E+15,Diana M Lyons,389,Aug-07,Aug-20,2,7969,52500,0
Visa,Bank of America,4.14403E+15,Mechelle O Alleyne,814,Dec-14,Dec-20,6,2992,70400,0
Japan Credit Bureau,JCB,3.55926E+15,Miguel C Britt,752,May-17,May-18,25,2865,60900,0
Japan Credit Bureau,JCB,3.56329E+15,Oda E Wan,211,Mar-16,Mar-24,1,7798,182700,1
Master Card,Bank of America,5.23197E+15,Stacy I Davidson,424,Apr-09,Apr-18,2,1215,191400,0
Japan Credit Bureau,JCB,3.57988E+15,Stacey U Alcorn,771,Mar-17,Mar-26,23,688,123800,1
Diners Club International,Diners Club,3.80266E+13,Jorge Blanchard,133,Oct-15,Oct-22,9,9975,58800,0
Diners Club International,Diners Club,3.04465E+13,Gudrun C Bulger,983,Jan-08,Jan-18,10,8375,142500,1
American Express,American Express,3.77168E+14,Michael E Fitzpatrick,4840,Feb-09,Feb-12,18,6265,118400,0
Diners Club International,Diners Club,3.95886E+13,Hyman M Royal,336,Mar-08,Mar-25,22,7700,20700,0
Visa,Chase,4.70909E+15,Betty H Velez,105,Mar-12,Mar-19,26,4956,51600,0
Master Card,Capital One,5.36612E+15,Pilar Jewett,958,Sep-07,Sep-24,14,7880,20400,0
Visa,Cabelas WFB,4.00187E+15,Lynn F Mays,97,Aug-15,Aug-30,23,6915,12600,0
Discover,Discover,6.01164E+15,Loren Q Fender,167,Mar-17,Mar-20,23,764,90700,0
Visa,Bank of America,4.88844E+15,Clara T Navarro,146,May-13,May-21,10,3230,60500,0
Japan Credit Bureau,JCB,3.57893E+15,Robt X Woodall,832,May-16,May-28,28,3167,144900,0
Diners Club International,Diners Club,3.02239E+13,Tommy V Salinas,645,Jul-09,Jul-14,5,3221,183600,1
Discover,Discover,6.01121E+15,Mistie Haynie,856,Oct-13,Oct-30,12,7832,82900,0
Japan Credit Bureau,JCB,3.55407E+15,Don Cochran,303,May-07,May-16,23,6558,137200,1
Diners Club International,Diners Club,3.65704E+13,Emile Mcelrath,187,Dec-12,Dec-13,23,2081,182500,1
Visa,Wells Fargo,4.89623E+15,Sharon K Oneil,896,Jan-14,Jan-33,6,2283,75700,0
Japan Credit Bureau,JCB,3.5832E+15,Olin Y Conrad,788,Jan-16,Jan-32,2,5737,59900,0
American Express,American Express,3.47876E+14,Linda Y Macdonald,5621,Apr-12,Apr-18,25,71,153400,1
Master Card,Chase,5.1064E+15,Brynn L Hartle,39,Jul-15,Jul-24,25,2356,150100,1
Diners Club International,Diners Club,3.69668E+13,Carmen C Watkins,851,Nov-08,Nov-20,11,1519,172400,1
Visa,Bank of America,4.05442E+15,Ute N Charley,382,Dec-11,Dec-31,11,345,198900,0
Discover,Discover,6.01144E+15,Josephine Leon,298,Feb-16,Feb-28,12,1798,17100,0
American Express,American Express,3.76134E+14,Kati E Candler,9337,Mar-12,Mar-20,4,3026,145100,1
Discover,Discover,6.01149E+15,Vanessa K Boyle,647,Mar-14,Mar-28,9,4454,145900,1
Visa,Wells Fargo,4.92932E+15,Micah W Dockery,540,Sep-15,Sep-18,22,9208,69700,0
Diners Club International,Diners Club,3.02401E+13,Tim A Morrow,141,Jan-10,Jan-12,25,4702,127400,1
Diners Club International,Diners Club,3.0285E+13,Daren A Bergquist,28,Jun-10,Jun-14,20,8329,122700,0
Diners Club International,Diners Club,3.01972E+13,Yolanda I Jenkins,62,Apr-14,Apr-24,26,8996,95400,0
Diners Club International,Diners Club,3.09622E+13,Lewis F Berner,806,Aug-17,Aug-21,11,6728,52000,0
Master Card,Bank of America,5.34294E+15,Walter Bartlett,836,Mar-15,Mar-30,26,1208,165700,0
American Express,American Express,3.75235E+14,Everett I Trigg,5053,Aug-14,Aug-34,8,4116,100300,1
Diners Club International,Diners Club,3.68601E+13,Howard Y Frederick,971,Oct-16,Oct-31,10,8219,122600,1
Master Card,Citibank,5.19794E+15,Lissette U Woodworth,157,Mar-16,Mar-28,27,1806,137700,1
Master Card,Capital One,5.12475E+15,Kenneth A Hudson,476,Nov-08,Nov-21,1,235,25000,0
Discover,Discover,6.01183E+15,Margarito W Pinder,707,Apr-14,Apr-25,27,6755,30500,0
American Express,American Express,3.47531E+14,Vivian E Delgado,4418,Nov-16,Nov-19,19,3645,144300,0
American Express,American Express,3.77787E+14,Vern M Howland,9411,Jun-13,Jun-31,7,8002,112700,1
Diners Club International,Diners Club,3.61814E+13,Lori G Phillips,279,Nov-15,Nov-24,17,6727,27000,0
Visa,GE Capital,4.88879E+15,Arden J Lingle,149,Jul-15,Jul-29,2,4537,100600,1
Discover,Discover,6.01153E+15,John Y Juarez,71,Mar-13,Mar-27,3,1023,133400,1
Visa,Citibank,4.38616E+15,Ernesto N Wesley,552,Apr-12,Apr-31,21,6191,165500,0
Japan Credit Bureau,JCB,3.54004E+15,Chad J Robbins,429,Sep-08,Sep-25,5,3686,45900,0
Discover,Discover,6.01183E+15,Sherrill I Doherty,249,Oct-11,Oct-23,15,1585,129600,1
Discover,Discover,6.01169E+15,Kathryn A Diaz,430,Apr-13,Apr-21,10,8615,26500,0
Japan Credit Bureau,JCB,3.53881E+15,Ayanna H Aquino,822,Jul-09,Jul-22,7,9718,22900,0
Japan Credit Bureau,JCB,3.58164E+15,Richard U Castro,279,Jan-12,Jan-30,1,6699,10300,0
Discover,Discover,6.01158E+15,Dean Willie,360,Jun-15,Jun-16,4,4255,153800,0
Discover,Discover,6.01154E+15,Theodore Mack,693,Jan-15,Jan-23,10,7970,59600,0
Diners Club International,Diners Club,3.03223E+13,My Henriques,676,Nov-09,Nov-26,4,2057,34100,0
Japan Credit Bureau,JCB,3.55838E+15,Joseph W Mcleod,887,Apr-08,Apr-16,24,976,72300,0
Diners Club International,Diners Club,3.09986E+13,Adrian K Deloach,237,Jul-16,Jul-35,9,49,108500,1
American Express,American Express,3.41279E+14,Jack X Perez,1835,Nov-09,Nov-10,2,7211,10900,0
American Express,Bank of America,3.7487E+14,Virgil C Talbot,8696,Jan-07,Jan-18,18,6961,21300,0
Master Card,Capital One,5.17256E+15,Nathan D Mcbride,292,Nov-17,Nov-35,24,876,64400,0
Visa,Chase,4.41582E+15,Jessie Gomes,260,Aug-09,Aug-13,4,9016,128200,0
Master Card,Chase,5.15395E+15,Ellen M Walker,725,Jun-11,Jun-20,17,6816,11300,0
Japan Credit Bureau,JCB,3.56041E+15,Robbie L Chestnut,506,Aug-13,Aug-18,11,1126,78800,0
Discover,Discover,6.46094E+15,Bruce Gaines,819,Mar-13,Mar-31,24,1937,143600,1
Diners Club International,Diners Club,3.0305E+13,Allyson L Brockman,843,Nov-11,Nov-23,13,7660,133900,1
Visa,Chase,4.96923E+15,Mary S Zimmerman,476,Jul-14,Jul-20,19,7897,72500,0
American Express,American Express,3.40155E+14,Margareta B Rueda,135,Aug-16,Aug-31,8,9343,88500,0
Discover,Discover,6.5233E+15,Stanley Forbes,372,May-15,May-16,3,5413,153000,0
Master Card,GE Capital,5.29858E+15,Mandie N June,169,Oct-13,Oct-17,11,5349,37700,0
Master Card,Capital One,5.13089E+15,Vanessa Velazquez,798,Oct-17,Oct-32,7,2979,42100,0
American Express,American Express,3.4675E+14,Tuan C Vidrine,3694,Jun-11,Jun-29,15,2154,43900,0
Diners Club International,Diners Club,3.09784E+13,Billy Freeman,866,Aug-13,Aug-29,19,5302,171400,0
Diners Club International,Diners Club,3.05568E+13,Nicole P Almanza,840,Apr-12,Apr-32,2,3214,185600,0
Japan Credit Bureau,JCB,3.5418E+15,Derrick O Kim,17,Oct-11,Oct-23,11,9289,177100,1
Diners Club International,Diners Club,3.8623E+13,Petra Hope,565,Aug-11,Aug-31,28,6011,41400,0
American Express,American Express,3.77145E+14,Danny Decker,606,Sep-16,Sep-22,22,7876,159700,0
Master Card,Chase,5.38095E+15,Merna A Humes,164,May-16,May-27,12,5563,136600,0
Japan Credit Bureau,JCB,3.57127E+15,Carolyn Wood,143,Jan-07,Jan-26,12,4529,53900,0
Diners Club International,Diners Club,3.00088E+13,Franklin Q Pollard,477,Nov-14,Nov-33,22,5927,128200,1
Discover,Discover,6.01119E+15,Danny K Henry,582,Sep-07,Sep-18,26,3714,34900,0
American Express,Bank of America,3.45937E+14,Patria Y Cash,2493,Sep-13,Sep-15,17,3783,151100,1
Master Card,Chase,5.19954E+15,Rodney G Holland,850,Nov-14,Nov-28,9,5163,186700,0
Visa,Chase,4.61446E+15,Blair Q Cerda,967,Mar-12,Mar-16,3,641,199000,1
Visa,Chase,4.5706E+15,Katherine Ayers,975,Nov-13,Nov-25,11,2234,172800,1
Discover,Discover,6.57939E+15,Jonathan V Eaves,420,May-17,May-32,8,2749,64600,0
American Express,U.S. Bancorp,3.49531E+14,Ray Terrell,2970,Feb-16,Feb-34,8,7194,82500,0
Japan Credit Bureau,JCB,3.57379E+15,Johnsie T Callihan,947,Oct-11,Oct-18,7,263,129400,1
American Express,U.S. Bancorp,3.79288E+14,Denise Bird,2368,Feb-12,Feb-19,28,8721,55700,0
Discover,Discover,6.01118E+15,Reina J Jone,875,Mar-07,Mar-13,13,9726,111100,1
Japan Credit Bureau,JCB,3.53165E+15,Alexander G English,641,Oct-17,Oct-27,22,9448,144500,1
Visa,First National,4.46993E+15,Christena I Schulze,127,Mar-13,Mar-27,28,6441,146800,1
Visa,Chase,4.36437E+15,Darlene Compton,438,Mar-15,Mar-19,8,3862,10600,0
American Express,American Express,3.7752E+14,Evan A Enciso,4671,Apr-12,Apr-26,8,5780,82000,0
Japan Credit Bureau,JCB,3.57145E+15,Ruth Bates,458,Dec-15,Dec-21,15,9357,12100,0
Discover,Discover,6.46303E+15,Lola D Stoner,393,Jun-15,Jun-21,5,5009,109500,1
Japan Credit Bureau,JCB,3.52993E+15,Emma Holmes,731,Aug-11,Aug-20,15,5776,142500,1
Diners Club International,Diners Club,3.09812E+13,Vanetta Hobson,342,May-12,May-19,12,9680,54200,0
Discover,Discover,6.01132E+15,Annette F Norton,353,Oct-14,Oct-22,1,1233,179700,1
Diners Club International,Diners Club,3.00561E+13,Jed O Major,287,Feb-08,Feb-09,15,1150,162200,1
Master Card,Barclays,5.34122E+15,Ronnie Caldwell,450,Aug-17,Aug-23,11,4543,76400,0
American Express,U.S. Bancorp,3.79628E+14,Reita Benz,9967,Feb-07,Feb-13,9,4308,24500,0
Discover,Discover,6.50398E+15,Florence Jennings,754,Jun-13,Jun-16,1,7058,50900,0
Visa,Chase,4.50375E+15,Al Feeley,196,Sep-09,Sep-29,20,7046,109900,0
Master Card,Chase,5.49402E+15,Phyllis Rosa,260,May-12,May-28,20,9239,76400,0
American Express,U.S. Bancorp,3.4024E+14,Solomon O Mello,1628,Dec-10,Dec-24,3,5563,162100,0
Diners Club International,Diners Club,3.00945E+13,Charlotte N Kirkland,697,Apr-12,Apr-26,16,9760,32700,0
Master Card,Capital One,5.1446E+15,Estrella Rockett,38,Feb-14,Feb-19,17,2040,169100,0
Visa,PNC,4.48702E+15,Yvonne Rowland,348,May-13,May-22,14,7465,122900,0
Japan Credit Bureau,JCB,3.56581E+15,Scottie Z Ballew,21,Oct-13,Oct-29,11,3768,158200,1
American Express,American Express,3.72424E+14,Jeremy M Durham,7243,Dec-09,Dec-11,3,8994,65200,0
Master Card,Citibank,5.43288E+15,Klara X Chalfant,510,Nov-07,Nov-22,3,5286,56100,0
Discover,Discover,6.01171E+15,Dean X Hunt,822,Aug-13,Aug-22,3,7378,176000,0
Discover,Discover,6.44563E+15,Marvin G Overton,476,Apr-07,Apr-25,16,7576,144000,0
American Express,Bank of America,3.47774E+14,Dean Russo,6640,Oct-07,Oct-14,22,9428,99900,0
Diners Club International,Diners Club,3.00732E+13,Leigh C Penland,394,Feb-08,Feb-18,19,911,23300,0
Master Card,Capital One,5.25099E+15,Janet Lawson,253,Sep-09,Sep-10,25,2224,108000,1
Visa,Cabelas WFB,4.62791E+15,Misti I Becker,954,Apr-09,Apr-20,6,377,134800,0
Diners Club International,Diners Club,3.01212E+13,Diane Y Ortega,67,Apr-09,Apr-12,6,1518,55000,0
Diners Club International,Diners Club,3.01299E+13,Willis Q Olszewski,866,Aug-07,Aug-25,15,5669,42700,0
Discover,Discover,6.0118E+15,Jeffrey D Gonzalez,386,Jan-07,Jan-09,24,7366,62000,0
Discover,Discover,6.01178E+15,Granville Ragin,825,Sep-09,Sep-15,21,9201,92600,0
Diners Club International,Diners Club,3.68402E+13,Barry Peterson,87,Dec-07,Dec-12,10,4794,198800,1
Discover,Discover,6.46825E+15,Malika Durante,643,Nov-17,Nov-28,2,9097,177300,1
Master Card,Bank of America,5.21411E+15,Bruce H Stevenson,615,Sep-09,Sep-29,22,9819,99300,0
Master Card,Capital One,5.42293E+15,Ahmad C Deck,160,Oct-13,Oct-18,16,6130,36300,0
Discover,Discover,6.01121E+15,Katie F Glover,562,Aug-07,Aug-27,13,3638,59200,0
American Express,American Express,3.45252E+14,Salina V Doolittle,7505,Feb-16,Feb-36,9,6170,48900,0
Master Card,Citibank,5.42202E+15,Erin Workman,544,Jul-07,Jul-20,11,281,82700,0
Diners Club International,Diners Club,3.03724E+13,Glennis Timmerman,825,Feb-10,Feb-18,28,2200,198500,1
Diners Club International,Diners Club,3.61092E+13,Frank E Norman,45,Sep-10,Sep-28,22,5568,42900,0
Visa,Chase,4.64968E+15,Maritza J Ulloa,99,Jul-17,Jul-20,23,2462,65100,0
Diners Club International,Diners Club,3.01669E+13,Johnny V Townsend,76,Aug-17,Aug-18,25,7659,179300,0
American Express,American Express,3.71797E+14,Starr S Coelho,2770,May-08,May-20,26,3807,90400,0
Master Card,Bank of America,5.19867E+15,Manuel P Dickerson,900,Jul-07,Jul-21,27,2018,60000,0
Visa,U.S. Bancorp,4.7101E+15,Ruben Yancey,347,Nov-13,Nov-22,18,1795,32600,0
Japan Credit Bureau,JCB,3.54352E+15,Brittany P Emerson,581,Mar-09,Mar-21,21,6108,78600,0
Visa,Wells Fargo,4.23437E+15,Jonah Patel,448,Jul-16,Jul-25,13,1616,84800,0
Master Card,GE Capital,5.11536E+15,Jack K Gilbert,267,Oct-15,Oct-28,27,1620,97100,0
Diners Club International,Diners Club,3.99992E+13,Lillia P Richmond,712,Apr-09,Apr-23,23,6401,97900,0
Master Card,Capital One,5.1994E+15,Lorraine T Horne,0,Sep-16,Sep-21,22,4557,160200,0
Diners Club International,Diners Club,3.02555E+13,Columbus E Ratchford,698,Apr-09,Apr-24,25,1967,195100,0
Discover,Discover,6.01125E+15,Sherry Y Bean,202,Jan-10,Jan-29,10,5982,78200,0
Japan Credit Bureau,JCB,3.54674E+15,Reginald W Iglesias,127,Feb-07,Feb-26,24,9578,26300,0
Discover,Discover,6.01153E+15,Leonard Mclaughlin,184,Jul-09,Jul-19,8,8740,47400,0
Visa,Capital One,4.82386E+15,Livia O Borowski,949,Aug-13,Aug-30,24,776,43000,0
Japan Credit Bureau,JCB,3.56997E+15,Theodore B Benson,424,Jul-10,Jul-21,15,7973,152100,0
Visa,Citibank,4.74643E+15,Viviana N Flemming,471,Sep-10,Sep-24,16,842,48000,0
Visa,Chase,4.88772E+15,Dustin H Young,858,Jan-08,Jan-22,17,5732,59300,0
Japan Credit Bureau,JCB,3.52843E+15,Garrett Montoya,917,Dec-15,Dec-30,21,9950,13800,0
Visa,U.S. Bancorp,4.12349E+15,Theodore M Allison,763,May-15,May-33,13,2505,78300,0
American Express,USAA,3.7794E+14,Katherina Y Abrego,2108,Apr-13,Apr-16,4,3587,41500,0
Master Card,Capital One,5.31851E+15,Billy Decker,106,Mar-08,Mar-22,27,974,49600,0
Japan Credit Bureau,JCB,3.55397E+15,Stuart B Hance,666,Jan-16,Jan-31,16,6286,177800,0
American Express,American Express,3.73755E+14,Annie Y Keller,7541,Dec-07,Dec-17,15,9809,179800,1
Diners Club International,Diners Club,3.02593E+13,Ruben S Dansby,667,May-09,May-12,15,5242,95000,0
Diners Club International,Diners Club,3.09942E+13,Bill T Santana,720,Mar-07,Mar-22,11,7810,193700,0
Master Card,Wells Fargo,5.33434E+15,Charlette D Chenault,772,Sep-12,Sep-15,23,2879,20600,0
Discover,Discover,6.46734E+15,Vernon Mercer,943,May-09,May-13,18,1222,63400,0
Diners Club International,Diners Club,3.03126E+13,Eli T Oswalt,250,May-11,May-28,27,9922,164300,0
Visa,PNC,4.89554E+15,Arthur F Anthony,12,Jan-17,Jan-28,28,9515,112600,0
Japan Credit Bureau,JCB,3.54088E+15,Sana G Wendell,655,Jan-12,Jan-22,16,3032,121100,1
American Express,American Express,3.42495E+14,Henry Hayden,8761,Jul-08,Jul-09,21,7464,48100,0
Discover,Discover,6.01108E+15,Elvira Sachs,702,Apr-09,Apr-12,21,3590,159700,0
American Express,American Express,3.72394E+14,Jay L Le,3941,Feb-15,Feb-29,17,3825,135000,1
Diners Club International,Diners Club,3.09575E+13,Angelica Baldwin,642,Jan-08,Jan-18,4,6658,75000,0
Discover,Discover,6.0118E+15,Catherine F Whitfield,643,Feb-09,Feb-10,9,9423,170200,1
American Express,USAA,3.47986E+14,Sabine V Vanhorn,5851,Sep-07,Sep-24,14,1711,79300,0
Japan Credit Bureau,JCB,3.57551E+15,Warren Z Mills,911,Jun-08,Jun-11,8,9972,136200,1
Discover,Discover,6.48752E+15,Loren H Gibbons,910,Jan-16,Jan-18,17,9186,78400,0
Master Card,Chase,5.1966E+15,Rachel Z Mooney,798,Oct-14,Oct-28,10,1431,186300,0
Diners Club International,Diners Club,3.09462E+13,Casie A Santoro,795,May-07,May-16,6,9408,190100,1
Master Card,Citibank,5.42156E+15,Samuel Rosa,397,Apr-12,Apr-17,19,8213,135100,1
American Express,American Express,3.4709E+14,Keisha S Leach,9884,Jul-16,Jul-31,25,2970,86800,0
Discover,Discover,6.22591E+15,Bruce D Everett,174,Mar-10,Mar-15,14,7053,193900,0
Visa,Chase,4.35091E+15,Rod I Stpeter,905,May-08,May-11,5,4116,116100,1
Discover,Discover,6.01149E+15,Sherry S Bennett,284,Sep-09,Sep-23,27,1862,177900,0
Master Card,Chase,5.43375E+15,Mary P Birt,187,Oct-16,Oct-32,24,1195,163100,1
American Express,American Express,3.78861E+14,Shirley N Richard,7172,Jun-07,Jun-17,11,7361,159300,0
Visa,Citibank,4.05281E+15,Dorla S Nagy,768,Feb-17,Feb-34,13,746,65400,0
Visa,Chase,4.84736E+15,Glenn B Middleton,132,Nov-10,Nov-30,16,1821,80300,0
Master Card,Citibank,5.26591E+15,Alena W Sydnor,256,Oct-15,Oct-29,24,4282,111500,0
Visa,Cabelas WFB,4.69256E+15,Peter Q Wagner,300,Jun-14,Jun-30,8,1717,63200,0
Discover,Discover,6.2228E+15,Cindi Otoole,525,Jul-11,Jul-24,8,9330,12900,0
American Express,American Express,3.77454E+14,Eleanor D Singleton,5591,Oct-17,Oct-37,23,3609,167000,1
Japan Credit Bureau,JCB,3.54295E+15,Oswaldo Tabor,215,May-16,May-27,10,8793,111100,1
American Express,American Express,3.70837E+14,Allen Morales,5848,Feb-13,Feb-21,3,1057,93500,0
Diners Club International,Diners Club,3.0175E+13,Misha Reuter,620,Dec-09,Dec-21,2,5188,72100,0
Discover,Discover,6.01108E+15,Troy I Mcdaniel,277,Apr-09,Apr-26,2,6898,157300,1
Master Card,USAA,5.37156E+15,Dane Falgout,156,Aug-14,Aug-30,27,8840,64800,0
Japan Credit Bureau,JCB,3.55822E+15,Phyllis George,23,Mar-11,Mar-25,10,3672,125800,1
Visa,Capital One,4.92218E+15,Jimmy J Cassel,479,Feb-14,Feb-24,7,1576,152800,1
Diners Club International,Diners Club,3.03588E+13,Leonard Mendoza,166,Jul-10,Jul-11,25,7540,190600,0
Japan Credit Bureau,JCB,3.53991E+15,Jasper E Gregorio,792,Jun-15,Jun-25,17,9991,137000,0
Visa,Bank of America,4.02279E+15,Glenn H Rosa,648,Dec-14,Dec-16,19,3484,11300,0
Visa,GE Capital,4.30813E+15,Osvaldo Trejo,81,Jul-17,Jul-21,1,4848,47900,0
Japan Credit Bureau,JCB,3.55697E+15,Laura D Mack,192,Oct-09,Oct-24,15,2102,187100,0
Japan Credit Bureau,JCB,3.55756E+15,Bernard Angle,578,Oct-09,Oct-16,24,5673,198200,0
Master Card,Bank of America,5.43875E+15,Joshua Gamble,961,Mar-10,Mar-30,12,833,102500,1
American Express,U.S. Bancorp,3.70307E+14,Franklin H Lohman,5241,Feb-07,Feb-24,11,2109,137200,1
Diners Club International,Diners Club,3.97777E+13,Don Cote,934,Apr-12,Apr-21,24,4893,17800,0
Discover,Discover,6.01149E+15,Moises Pelton,487,Jul-07,Jul-17,25,6084,77700,0
American Express,American Express,3.4466E+14,Adam R Finch,7558,Oct-17,Oct-18,16,5757,116100,0
American Express,Bank of America,3.76475E+14,Gracie A Stotts,8415,Oct-09,Oct-22,14,1372,47600,0
Japan Credit Bureau,JCB,3.55207E+15,Leonard I Owens,485,Nov-11,Nov-29,6,7497,100800,1
Visa,Chase,4.47152E+15,Salvador Bryan,381,Jan-15,Jan-17,6,9591,53300,0
Japan Credit Bureau,JCB,3.55697E+15,Charlotte Perry,484,Jun-11,Jun-23,23,3772,133100,0
Discover,Discover,6.22467E+15,Monte Rosenbaum,778,Jul-14,Jul-32,7,4214,22500,0
American Express,American Express,3.48693E+14,Daniel Francis,5319,Jun-16,Jun-36,19,807,145500,1
Japan Credit Bureau,JCB,3.53791E+15,Aisha Q Howland,584,Nov-13,Nov-25,28,6646,58500,0
Discover,Discover,6.01172E+15,Curtis T Walker,364,Feb-16,Feb-24,2,4153,127400,0
Japan Credit Bureau,JCB,3.56351E+15,Terrence D Grimmett,760,Dec-17,Dec-18,1,935,57600,0
Diners Club International,Diners Club,3.0936E+13,Regina Q Holland,83,Sep-12,Sep-20,22,9552,34400,0
Master Card,Citibank,5.29358E+15,Kenneth Gates,638,Jul-12,Jul-27,12,6184,77500,0
American Express,Bank of America,3.77792E+14,Jane C Lester,5279,Jun-17,Jun-31,28,716,110700,1
Diners Club International,Diners Club,3.05301E+13,Marcella T Banuelos,79,Apr-17,Apr-37,1,8210,34100,0
Master Card,USAA,5.45471E+15,Christine Suarez,389,Feb-07,Feb-08,28,9331,182500,1
American Express,American Express,3.47321E+14,Stuart C Ostrander,3337,Nov-16,Nov-27,14,4535,17400,0
Visa,PNC,4.01444E+15,Alfred Vargas,692,Jan-09,Jan-14,24,5101,135900,0
Discover,Discover,6.01189E+15,Rey N Sowell,955,Jan-17,Jan-37,8,9248,90800,0
Master Card,Bank of America,5.14205E+15,Veronica S Lewis,73,Oct-12,Oct-29,26,6144,43600,0
American Express,American Express,3.79838E+14,Darla M Brown,9853,Mar-09,Mar-19,27,6825,198500,1
Japan Credit Bureau,JCB,3.56864E+15,Leroy J Nieves,39,Feb-13,Feb-16,24,2550,157200,1
American Express,American Express,3.46438E+14,Major P Irick,6920,Feb-09,Feb-20,10,6446,91500,0
Diners Club International,Diners Club,3.01389E+13,Elaine T Ortiz,60,Feb-13,Feb-16,16,8420,85000,0
American Express,U.S. Bancorp,3.40465E+14,Jc I Guadalupe,4466,Apr-16,Apr-22,12,887,180700,0
American Express,Bank of America,3.46847E+14,Carl Cash,2956,Apr-14,Apr-19,10,189,128300,0
Discover,Discover,6.0111E+15,Herb W Cummings,279,Nov-17,Nov-24,9,6548,92100,0
Master Card,Citibank,5.10205E+15,Steve K Vargas,207,Jun-08,Jun-21,22,1554,199000,1
Visa,GE Capital,4.00014E+15,Daniella Oates,922,Feb-14,Feb-24,28,3666,109400,0
Master Card,Chase,5.36683E+15,Kevin Mayo,820,Aug-11,Aug-15,15,7812,148000,0
Diners Club International,Diners Club,3.00649E+13,Frederic Dorn,135,Dec-08,Dec-27,16,8300,93500,0
American Express,American Express,3.78554E+14,Eric B Bush,3351,Nov-15,Nov-25,28,4933,61800,0
Visa,Chase,4.94667E+15,Randal S Keith,894,Feb-08,Feb-18,20,123,17200,0
Diners Club International,Diners Club,3.094E+13,Ida T Lawson,880,Apr-08,Apr-27,9,1160,82500,0
Discover,Discover,6.22833E+15,Edwina Wiggs,319,Dec-13,Dec-20,9,2606,33000,0
Discover,Discover,6.0115E+15,Keith Hancock,600,Feb-10,Feb-23,11,1471,111000,0
Visa,Citibank,4.26363E+15,Antonia V Chaplin,411,Jul-09,Jul-14,23,4642,124100,1
Master Card,Capital One,5.17514E+15,Juan Y Mcclure,863,Oct-13,Oct-29,17,7700,187000,1
Discover,Discover,6.01106E+15,Corrin S Bangs,186,Jun-11,Jun-28,5,5184,12900,0
Master Card,Chase,5.21261E+15,Albert A Hudson,7,Dec-13,Dec-20,28,9637,98900,0
Visa,Chase,4.30098E+15,Emelina U Oxley,312,Jan-12,Jan-13,18,4941,44200,0
Diners Club International,Diners Club,3.05811E+13,Luis Steele,155,Dec-11,Dec-22,12,4913,62300,0
Diners Club International,Diners Club,3.03853E+13,Rufus Beveridge,915,Apr-10,Apr-18,26,1723,196800,1
Visa,U.S. Bancorp,4.44201E+15,Pauline Chambers,981,Apr-12,Apr-21,8,7990,165000,1
Master Card,Bank of America,5.49865E+15,Jarrett Petree,103,Sep-08,Sep-14,10,8470,131500,1
Japan Credit Bureau,JCB,3.56413E+15,Donald A Newman,533,May-16,May-20,23,1066,131800,1
Diners Club International,Diners Club,3.09742E+13,Rick Ledbetter,536,May-16,May-32,17,5540,182300,0
Diners Club International,Diners Club,3.01524E+13,Helen F Drake,693,Apr-13,Apr-29,27,2205,54600,0
Discover,Discover,6.45381E+15,Lani G Wendling,278,Jun-14,Jun-25,11,1324,21400,0
Master Card,GE Capital,5.3094E+15,Bill A Jacobson,121,Mar-13,Mar-18,16,8503,122900,1
Diners Club International,Diners Club,3.02911E+13,Leon K Cutting,973,Dec-12,Dec-22,24,7734,133300,1
Japan Credit Bureau,JCB,3.53959E+15,Marie J Johnson,541,May-14,May-19,27,4611,96000,0
American Express,American Express,3.72819E+14,Brittney Dimaggio,9544,Dec-10,Dec-23,18,9646,71300,0
American Express,U.S. Bancorp,3.7644E+14,Sue E Chandler,3898,Jan-07,Jan-13,13,9419,68600,0
Master Card,Capital One,5.35667E+15,Ira S Angulo,179,May-13,May-24,13,9843,57800,0
Diners Club International,Diners Club,3.05453E+13,Lester A Waters,185,Dec-08,Dec-24,17,6216,134500,1
Diners Club International,Diners Club,3.05864E+13,Lizabeth Frasier,182,Sep-12,Sep-25,15,3534,187100,0
American Express,American Express,3.43022E+14,Paul Campos,3296,Jan-14,Jan-28,16,4143,25100,0
American Express,USAA,3.78872E+14,Charlie G Dandrea,6161,Jun-11,Jun-25,7,9002,84300,0
Discover,Discover,6.48109E+15,Deborah Z Woods,834,Sep-10,Sep-29,9,1242,34000,0
Discover,Discover,6.01173E+15,Arron O Buettner,375,Oct-14,Oct-19,13,3448,28500,0
